gametype,gamecode,gamename,gameplat,lang,status,maintain,nameset,language
,,,,en,,,Wukong e Pêssegos,pt-br
,,,,ko,,,悟空偷桃,zh-cn
,,,,th,,,Wukong & Peaches,en
,,,,vn,,,우공과 피치,ko
,,,,id,,,หงอคงและลูกท้อ,th
slot,204,LuckyBoxes,web,zh-cn,TRUE,FALSE,百宝箱,zh-cn
,,,,en,,,LuckyBoxes,en
,,,,ko,,,럭키 박스,ko
slot,83,FireQueen,web,th,TRUE,FALSE,Fire Queen,en
,,,,en,,,RATU API,id
,,,,ko,,,파이어 퀸,ko
,,,,vn,,,NỮ HOÀNG LỬA,vn
,,,,zh-cn,,,火之女王,zh-cn
,,,,es,,,Reina del fuego,es
,,,,pt-br,,,Rainha do Fogo,pt-br
,,,,ja,,,ราชินีเพลิง,th
,,,,id,,,ファイアクイーン,ja
slot,1074,TreasureBowlJP,web,th,TRUE,FALSE,Treasure Bowl Jackpot,id
,,,,vn,,,트레저 보울 잭팟,ko
,,,,zh-cn,,,กระถางมหาสมบัติ แจ็คพ็อต,th
,,,,en,,,Chum vàng Giải độc đắc,vn
,,,,id,,,聚宝盆JP,zh-cn
,,,,ko,,,Treasure Bowl JP,en
slot,1010,LuckyBatsJP,web,zh-cn,TRUE,FALSE,Kelelawar Mujur Jackpot,id
,,,,en,,,럭키 뱃 잭팟,ko
,,,,id,,,ลัคกี้ แบท แจ็คพ็อต,th
,,,,ko,,,Chú dơi may mắn Giải độc đắc,vn
,,,,th,,,五福临门JP,zh-cn
,,,,vn,,,Lucky Bats JP,en
slot,1067,GoldenEggsJP,web,ko,TRUE,FALSE,Golden Eggs JP,en
,,,,th,,,GOLDEN EGGS Jackpot,id
,,,,vn,,,골든 에그 잭팟,ko
,,,,zh-cn,,,ไข่ทองคำ แจ็คพ็อต,th
,,,,en,,,TRỨNG VÀNG Giải độc đắc,vn
,,,,id,,,赚金蛋JP,zh-cn
slot,92,WorldCupRussia2018,web,th,TRUE,FALSE,World Cup tại Nga 2018,vn
,,,,vn,,,Piala dunia 2018,id
,,,,id,,,Copa do Mundo Rússia 2018,pt-br
,,,,pt-br,,,2018世界杯,zh-cn
,,,,zh-cn,,,World Cup Russia2018,en
,,,,en,,,2018 러시아 월드컵,ko
,,,,ko,,,ฟุตบอลโลก2018,th
slot,86,RunningToro,web,zh-cn,TRUE,FALSE,RunningToro,en
,,,,en,,,Toro corriendo,es
,,,,es,,,เกมส์ราชากระทิงนําโชค,th
,,,,th,,,牛逼快跑,zh-cn
slot,95,FootballBoots,web,id,TRUE,FALSE,풋볼 부츠,ko
,,,,pt-br,,,ฟุตบอล รองเท้าบูท,th
,,,,zh-cn,,,Giày bóng đá,vn
,,,,en,,,Sepak bola Sepatu,id
,,,,ko,,,Chuteiras de Futebol,pt-br
,,,,th,,,世界杯球鞋,zh-cn
,,,,vn,,,Football Boots,en
